"designer_id","name","country","birth_year","notes"
1,Marcello Gandini,Italy,1938,Designed Miura and Countach.
2,Gordon Murray,South Africa,1946,Main designer of McLaren F1.
3,Peter Stevens,UK,1943,Exterior designer of McLaren F1.
4,Giorgetto Giugiaro,Italy,1938,Italdesign founder.
5,Leonardo Fioravanti,Italy,1938,Ferrari specialist.
6,Ian Callum,UK,1954,Aston Martin and Jaguar.
7,Horacio Pagani,Argentina,1955,Pagani founder.
8,Sergio Scaglietti,Italy,1920,Ferrari coachbuilder.
9,Bruno Sacco,Italy,1933,Mercedes-Benz legend.
10,Malcolm Sayer,UK,1916,Jaguar E-Type.
11,Battista Pininfarina,Italy,1893,Pininfarina founder.
12,Ercole Spada,Italy,1937,Zagato designer.
13,Frank Stephenson,Morocco,1959,"Mini, Fiat, McLaren."
14,Walter de Silva,Italy,1951,"Audi, Alfa Romeo."
15,Peter Schreyer,Germany,1953,Audi TT designer.
16,Robert Opron,France,1932,Citroen SM.
17,Adrian Newey,UK,1958,Valkyrie designer.
18,Marek Reichman,UK,1966,Aston Martin CCO.
19,Ferdinand Porsche,Germany,1935,Porsche 911.
20,Shiro Nakamura,Japan,1950,Nissan GT-R.
