"model_id","brand_id","name","start_year","end_year","engine_type","horsepower","class","body_style"
1,1,F40,1987,1992,V8 Twin-Turbo,471,Supercar,Coupe
2,2,Miura,1966,1973,V12,350,Sports Car,Coupe
3,3,"911 Turbo (930)",1975,1989,Flat-6 Turbo,260,Sports Car,Coupe
4,4,DB5,1963,1965,Straight-6,282,Grand Tourer,Coupe
5,5,Veyron,2005,2015,W16 Quad-Turbo,1001,Hypercar,Coupe
6,6,"300 SL Gullwing",1954,1957,Straight-6,215,Sports Car,Coupe
7,7,M1,1978,1981,Straight-6,273,Sports Car,Coupe
8,8,R8,2006,2023,V10,525,Supercar,Coupe
9,9,MC12,2004,2005,V12,621,Supercar,Coupe
10,10,Giulia TZ,1963,1967,Inline-4,112,Racing Car,Coupe
11,11,E-Type,1961,1975,Straight-6,265,Sports Car,Roadster
12,12,Phantom VII,2003,2017,V12,453,Luxury,Sedan
13,13,Continental R,1991,2003,V8 Turbo,325,Luxury,Coupe
14,14,F1,1992,1998,V12,618,Hypercar,Coupe
15,15,Zonda C12,1999,2002,V12,394,Hypercar,Coupe
16,16,CCX,2006,2010,V8 Twin-Supercharged,806,Hypercar,Coupe
17,17,GT40,1964,1969,V8,485,Racing Car,Coupe
18,18,Corvette C2,1963,1967,V8,250,Sports Car,Coupe
19,19,"2000GT",1967,1970,Straight-6,150,Sports Car,Coupe
20,20,GT-R (R34),1999,2002,Straight-6 Twin-Turbo,276,Sports Car,Coupe
